CODEETBS,LIBETBS,FINESS,CODEUF,LIBUF,DATEUF1,DATEUF2,ACTIVITE,INDICATEURT2A,BUDGET,ANALYSE,CA,LIBCA,CODECR,LIBCR,CODEPOLE
XX,C.H. ANONYME,870123456,000311,STOCK MATERIELS,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,921201,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000320,JARDIN,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000330,GARAGE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000340,ELECTRICITE SECU INCENDIE,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9212,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000341,PLOMBERIE,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9212,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000343,AMBULANCIERS,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9213,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000344,MAGASIN CENTRAL,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9212,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000345,PERIMES MAGASIN,2014/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,931113200,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000350,MENUISERIE MACONNERIE,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9212,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000362,NAVETTE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9203110,912,SERVICES ECONOMIQUES,200,FONCTION LOGISTIQUE,5
XX,C.H. ANONYME,870123456,000410,PHARMACIE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000411,STOCK MEDICAMENTS,2001/01/01 00:00:00,2999/12/31 00:00:00,Magasin,,H,,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000412,STOCK MATERIEL PHARMACIE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9220003,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000413,FLUIDES MEDICAUX,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9220003,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000414,COVIRIS,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9221200,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000416,RETROCESSION MEDICAMENTS,2008/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000419,PERIMES PHARMACIE,2008/10/10 00:00:00,2999/12/31 00:00:00,Service,,H,9220003,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000460,EEG ECG,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234533,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000472,CATTP FLEURAT,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,922510,918,ATELIER THERAPEUTIQUE,500,SECTEUR 1,
XX,C.H. ANONYME,870123456,000480,QUALITE GEST DES RISQUES,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,931111800,910,DIRECTION GENERALE,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000481,PEINTURE,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,921005,910,DIRECTION GENERALE,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,000500,GARDES ET ASTREINTES,2014/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,934411100,950,TOUT SECTEUR SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000505,EQUIPE MOBILE PSYCHO GE,2014/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,935322000,923,EQUIPE D'URGENCE,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000508,POOL ASH,2014/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,934411100,915,DIR SERV SOINS INFIRMIERS,100,ADMINISTRATION,1
XX,C.H. ANONYME,870123456,000510,CONSULT HOPITAL SECT1,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000513,THERAPIES SPECIALISEES,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000515,PERINATALITE,2011/07/01 00:00:00,2999/12/31 00:00:00,Service,,H,,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000520,TOUT POLE ADULTES,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,950,TOUT SECTEUR SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000521,UNITE HENRI EY,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923510,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000530,HOSP JOUR HENRI EY,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,952,JOUR SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000540,HOSP NUIT HENRI EY,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,953,NUIT SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000550,HOSP. JOUR LA SOUTE,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,952,JOUR SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000551,SEJOUR TH HJ LA SOUT,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000553,CATTP LA SOUT,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000559,SEJOUT TH HJ BOURGANEUF,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000560,HOS JOUR BOURGANEUF,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,952,JOUR SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000561,VAD EQUIPE SECT BLESSAC,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234909,956,VAD SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000562,VAD EQUIPE SECT SOUTERRAI,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234909,956,VAD SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000563,VAD EQUIPE SECT BOURGANEU,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234909,956,VAD SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000564,LIAISON BOURGANEUF,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000566,CATTP BOURGANEUF,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000570,CONSULT LA SOUTE,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000571,CONSULT. BOURGANEUF,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000573,CMP ST VAURY,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000574,VAD ST VAURY,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,956,VAD SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000575,CATTP SAINT VAURY,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9235400,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000576,SEJOUR TH ST VAURY,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000601,ATELIER BOIS,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9225100,919,ACTIVITE SOCIO THERAPEUTI,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000602,SPORTS,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9203120,919,ACTIVITE SOCIO THERAPEUTI,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000610,CONSULT HOPITAL SECT2,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000621,UNITE MAURICE DIDE,2002/05/01 00:00:00,2999/12/31 00:00:00,Service,,H,923510,908,HOSP TOUS SECTEURS,1200,TOUS SECTEURS,1
XX,C.H. ANONYME,870123456,000623,UNITE VERONESE,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923510,961,HOS. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,0006XX,SEJOUR TH VERONESE,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,961,HOS. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000625,SEJOUR TH MAURICE DIDE,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000640,HOSP JOUR VERONESE,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,963,NUIT SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000641,HOSP NUIT VERONESE,2003/06/05 00:00:00,2999/12/31 00:00:00,Service,,H,92,963,NUIT SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000646,CATTP LE BERRY,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000647,CONSULTATIONS LE BERRY,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000648,VAD LE BERRY,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,966,VAD SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000650,HJ GUERET LE BERRY,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,962,JOUR SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000651,SEJOUR TH HJ LE BERRY,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,961,HOS. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000652,CMP EVAUX LES BAINS,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234234,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000653,VAD EQUIPE SECT BOUSSAC,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234909,966,VAD SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000654,VAD EQUIPE SECT EVAUX,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234909,966,VAD SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000655,H.J.BELFONT,1993/02/22 00:00:00,2999/12/31 00:00:00,Service,,H,923520,962,JOUR SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000656,SEJOUR TH HJ BELFONT,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,961,HOS. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000657,CONSULTATIONS BELFONT,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000658,VAD BELFONT,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,966,VAD SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000660,HOSP. JOUR BOUSSAC,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,962,JOUR SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000661,SEJOUR TH HJ BOUSSAC,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,961,HOS. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000663,CATTP BOUSSAC,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,961,HOS. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000664,CATTP BELFONT,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000665,HOSP JOUR LE MAUPUY,1996/02/15 00:00:00,2999/12/31 00:00:00,Service,,H,923520,962,JOUR SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000666,SEJOUR TH LE MAUPUY,2009/09/18 00:00:00,2999/12/31 00:00:00,Service,,H,,961,HOS. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000667,CONSULTATIONS LE MAUPUY,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000668,VAD LE MAUPUY,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,966,VAD SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000670,CONSULT. BOUSSAC,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923540,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000672,CONSULTATION GUERET,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000673,URGENCES LIAISON,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923540,923,EQUIPE D'URGENCE,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000674,VAD EQUIPE SECTEUR GUERET,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923540,966,VAD SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000676,UCSA,2007/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9227003,923,EQUIPE D'URGENCE,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000677,EQUIPE MOBILE PRECARITE,2007/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,935327000,923,EQUIPE D'URGENCE,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000680,AFT COMPLET POLE ADULTES,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923911,965,ACCUEIL FAM THERAP SECT 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000681,AFT INCOMPLET POLE ADULTE,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923911,965,ACCUEIL FAM THERAP SECT 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000682,ELSA,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234900,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000683,CATTP LE MAUPUY,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000684,CATTP EVAUX,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000685,CATTP SECTEUR GUERET,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,964,CONSULT. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000711,CELLULE HYGIENE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9200000,922,HYGIENE,700,FONCTION LOGISTIQUE MEDIC,4
XX,C.H. ANONYME,870123456,000712,CLIN,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9200000,922,HYGIENE,700,FONCTION LOGISTIQUE MEDIC,4
XX,C.H. ANONYME,870123456,000713,CONSEILS NUTRITION,2007/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,934631530,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000714,ETP NUTRITION,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,935351000,929,SERVICES MEDICO TECHNIQUE,400,FONCTION MEDICO TECHNIQUE,4
XX,C.H. ANONYME,870123456,000721,SEJOUR TH JEAN BANCAUD,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000722,UNITE JEAN BANCAUD,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923510,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000723,UNITE JEAN PFITZENMEYER,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,923510,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,0007XX,SEJ TH JEAN PFITZENMEYER,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000730,HOSP JOUR JEAN BANCAUD,2003/06/24 00:00:00,2999/12/31 00:00:00,Service,,H,92,952,JOUR SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000731,HOSP JOUR J.PFITZENMEYER,2003/06/24 00:00:00,2999/12/31 00:00:00,Service,,H,92,952,JOUR SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000740,HOSP NUIT JEAN BANCAUD,2003/06/24 00:00:00,2999/12/31 00:00:00,Service,,H,92,953,NUIT SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000741,HOSP NUIT J.PFITZENMEYER,2003/06/25 00:00:00,2999/12/31 00:00:00,Service,,H,92,953,NUIT SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000742,DIM,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9279903,916,DEPART D'INFO MEDICALE,700,FONCTION LOGISTIQUE MEDIC,5
XX,C.H. ANONYME,870123456,000743,ARCHIVES MEDICALES,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9203040,916,DEPART D'INFO MEDICALE,700,FONCTION LOGISTIQUE MEDIC,5
XX,C.H. ANONYME,870123456,000745,PRATICIEN HOSPITALIER DIM,2001/01/01 00:00:00,2010/02/05 00:00:00,Service,,H,92799003,916,DEPART D'INFO MEDICALE,700,FONCTION LOGISTIQUE MEDIC,5
XX,C.H. ANONYME,870123456,000750,HOSP.JOUR BLESSAC,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,952,JOUR SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000751,SEJOUR TH HJ BLESSAC,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000752,LIAISON BLESSAC,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000754,CATTP BLESSAC,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,951,HOSP. SECTEUR 1,500,SECTEUR 1,1
XX,C.H. ANONYME,870123456,000760,CONSULT. BLESSAC,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,954,CONSULT.SECTEUR 1,500,SECTEUR 1,1
